ID;NOMBRE;MUNICIPIO;PROVINCIA;ALTURA;LATITUD;LONGITUD
8050X;Jávea/ Xàbia;Jávea/Xàbia;Alacant/Alicante;15;384701N;001004E
8057C;Pego;Pego;Alacant/Alicante;60;385048N;000706W
8059C;Alcoy/Alcoi;Alcoy/Alcoi;Alacant/Alicante;530;384239N;002736W
5060X;Vélez Blanco;Vélez-Blanco;Almería;1190;375139N;021341W
6277B;Adra;Adra;Almería;8;364450N;030114W
6291B;El Ejido;Ejido, El;Almería;98;364629N;024847W
6293X;Roquetas de Mar;Ejido, El;Almería;3;364113N;024206W
6302A;Abla;Abla;Almería;885;370829N;024647W
6307X;Láujar de Andarax;Láujar de Andarax;Almería;1518;370159N;025445W
6325O;Almería Aeropuerto;Almería;Almería;21;365047N;022125W
6329X;Cabo de Gata;Níjar;Almería;52;364319N;021135W
6340X;Garrucha, Puerto;Garrucha;Almería;6;371044N;014900W
6364X;Albox;Albox;Almería;508;372424N;020905W
6367B;Huercal Overa;Huércal-Overa;Almería;300;372326N;015637W
1044X;Aramaio;Aramaio;Araba/Álava;617;430328N;023522W
1060X;Amurrio;Amurrio;Araba/Álava;240;430301N;030020W
9060X;Lalastra;Valdegovía/Gaubea;Araba/Álava;910;425231N;031354W
9073X;Opakua;Salvatierra/Agurain;Araba/Álava;660;424947N;022135W
9091R;Vitoria Gasteiz Aeropuerto;Vitoria-Gasteiz;Araba/Álava;513;425219N;024400W
9122I;Labastida;Labastida/Bastida;Araba/Álava;610;423609N;024629W
9145X;Leza;Leza;Araba/Álava;575;423402N;023758W
9178X;Campezo/Kanpezu;Campezo/Kanpezu;Araba/Álava;570;424014N;022046W
1179B;Cabrales;Cabrales;Asturias;458;431840N;045110W
1183X;Llanes;Llanes;Asturias;10;432513N;044453W
1186P;Amieva, Panizales;Amieva;Asturias;370;431600N;050709W
1199X;Piloña;Piloña;Asturias;280;432240N;052348W
1203D;Colunga;Colunga;Asturias;30;432933N;051450W
1207U;Gijón, Campus;Gijón;Asturias;26;433123N;053716W
1210X;Cabo Peñas;Gozón;Asturias;100;433921N;055055W
1212E;Asturias Aeropuerto;Castrillón;Asturias;127;433401N;060239W
1221D;Puerto de Pajares;Lena;Asturias;1480;425843N;054635W
1223P;Pola de Lena;Lena;Asturias;370;430758N;054922W
1226X;Aller;Aller;Asturias;750;430543N;052837W
1234P;Mieres;Mieres;Asturias;170;431630N;054909W
1249X;Oviedo;Oviedo;Asturias;336;432112N;055227W
1272B;Tineo, Soto de la Barca;Tineo;Asturias;280;431725N;062312W
1276F;Pola de Somiedo;Somiedo;Asturias;670;430600N;061525W
1279X;Salas;Salas;Asturias;240;432530N;061351W
1283U;Cabo Busto;Valdés;Asturias;60;433409N;062812W
1302F;Degaña;Degaña;Asturias;1310;425719N;062821W
1309C;Ibias, San Antolin;Ibias;Asturias;780;430139N;065306W
1327A;Villayón, Oneta;Villayón;Asturias;410;432756N;064024W
1331A;Castropol;Castropol;Asturias;40;433129N;070153W
1341B;Taramundi, Ouria;Taramundi;Asturias;340;432456N;070340W
1542;Puerto de Leitariegos;Cangas del Narcea;Asturias;1530;425939N;062451W
2430Y;Muñotello;Muñotello;Ávila;1178;403236N;050239W
2444;Ávila;Ávila;Ávila;1130;403933N;044048W
2453E;Gotarrendura;Gotarrendura;Ávila;920;404944N;044431W
2456B;Arevalo;Arévalo;Ávila;820;410417N;044348W
2512Y;Rivilla de Barajas;Rivilla de Barajas;Ávila;925;405256N;050107W
2811A;Navarredonda de Gredos;Navarredonda de Gredos;Ávila;1525;402102N;050835W
2828Y;Barco de Avila;Barco de Ávila, El;Ávila;1012;402119N;053109W
3319D;Puerto El Pico;Villarejo del Valle;Ávila;1285;402023N;050046W
3337U;Cebreros;Cebreros;Ávila;850;402803N;042721W
3422D;Candeleda;Candeleda;Ávila;350;400821N;051841W
4244X;Herrera del Duque;Herrera del Duque;Badajoz;447;391010N;050344W
4260;Peraleda del Zaucejo;Peraleda del Zaucejo;Badajoz;542;382847N;053439W
4325X;Castuera;Castuera;Badajoz;502;384255N;053248W
4340;Navalvillar de Pela;Navalvillar de Pela;Badajoz;313;390612N;052741W
4358X;Don Benito;Don Benito;Badajoz;273;385720N;055250W
4386B;Llerena;Llerena;Badajoz;655;381354N;060101W
4395X;Villafranca de los Barros;Villafranca de los Barros;Badajoz;430;383306N;061824W
4410X;Mérida;Mérida;Badajoz;228;385457N;062308W
4427X;Zafra;Zafra;Badajoz;433;382533N;062612W
4436Y;Almendralejo;Almendralejo;Badajoz;371;384120N;062140W
4452;Badajoz Aeropuerto;Badajoz;Badajoz;185;385300N;064850W
4464X;Alburquerque;Alburquerque;Badajoz;283;391055N;065943W
4468X;Puebla de Obando;Puebla de Obando;Badajoz;392;391036N;063603W
4478X;Badajoz;Badajoz;Badajoz;175;385315N;070029W
4486X;Olivenza;Olivenza;Badajoz;275;384151N;070504W
4489X;Alconchel;Alconchel;Badajoz;170;382905N;071655W
4492E;Barcarrota;Barcarrota;Badajoz;387;382835N;065522W
4497X;Villanueva del Fresno;Villanueva del Fresno;Badajoz;247;382220N;070929W
4499X;Monesterio;Monesterio;Badajoz;771;380453N;061619W
4501X;Fuente de Cantos;Fuente de Cantos;Badajoz;602;381232N;061841W
4511C;Jerez de los Caballeros;Jerez de los Caballeros;Badajoz;381;381755N;064554W
4520X;Fregenal de la Sierra;Fregenal de la Sierra;Badajoz;586;381042N;063942W
5473X;Azuaga;Azuaga;Badajoz;581;381604N;054110W
0061X;Pontons;Pontons;Barcelona;632;412501N;013109E
0066X;Vilafranca del Penedès;Vilafranca del Penedès;Barcelona;177;411949N;014037E
0073X;Sitges;Sitges;Barcelona;58;411438N;015109E
0076;Barcelona Aeropuerto;Prat de Llobregat, El;Barcelona;4;411734N;020412E
0092X;Berga;Berga;Barcelona;682;420605N;015127E
0106X;Balsareny;Balsareny;Barcelona;361;415159N;015221E
0114X;Prat de Lluçanès;Prats de Lluçanès;Barcelona;700;420025N;020136E
0120X;Moià;Moià;Barcelona;742;414848N;020543E
0149X;Manresa;Manresa;Barcelona;291;414312N;015025E
0158X;Monistrol de Montserrat;Monistrol de Montserrat;Barcelona;738;413540N;015021E
0171X;Igualada;Igualada;Barcelona;313;413444N;013704E
0194D;Corbera, Pic d'Agulles;Corbera de Llobregat;Barcelona;647;412429N;015305E
0201D;Barcelona;Barcelona;Barcelona;6;412326N;021200E
0201X;Barcelona, Museo Marítimo;Barcelona;Barcelona;5;412230N;021026E
0222X;Caldes de Montbui;Caldes de Montbui;Barcelona;175;413646N;021006E
0229I;Sabadell Aeropuerto;Sabadell;Barcelona;146;413125N;020611E
0244X;Vilassar de Dalt;Vilassar de Dalt;Barcelona;56;413018N;022145E
0252D;Arenys de Mar;Arenys de Mar;Barcelona;74;413515N;023224E
0255B;Santa Susana;Malgrat de Mar;Barcelona;40;413903N;024149E
0260X;Fogars de Montclús;Fogars de Montclús;Barcelona;936;414536N;022552E
0341X;Tona;Tona;Barcelona;607;415049N;021321E
0349;Sant Julià de Vilatorta;Sant Julià de Vilatorta;Barcelona;578;415534N;021903E
1055B;Lekeitio;Lekeitio;Bizkaia;12;432237N;023037W
1056K;Forua;Forua;Bizkaia;45;432033N;024016W
1057B;Machichaco;Bermeo;Bizkaia;93;432714N;024510W
1059X;Punta Galea;Getxo;Bizkaia;90;432230N;030118W
1064L;Orozko;Orozko;Bizkaia;270;430544N;025137W
1069Y;Abadiño;Abadiño;Bizkaia;747;430557N;023839W
1074C;Amorebieta--Etxano;Amorebieta-Etxano;Bizkaia;100;431210N;024222W
1078C;Balmaseda;Balmaseda;Bizkaia;210;431050N;031235W
1078I;Güeñes;Güeñes;Bizkaia;208;431212N;030617W
1082;Bilbao Aeropuerto;Loiu;Bizkaia;42;431753N;025421W
1083B;Sopuerta;Sopuerta;Bizkaia;177;431647N;031007W
2106B;Coruña del Conde;Coruña del Conde;Burgos;955;414445N;032255W
2117D;Aranda de Duero;Aranda de Duero;Burgos;790;413957N;034434W
2290Y;Pedrosa del Príncipe;Pedrosa del Príncipe;Burgos;771;421504N;041156W
2298;Palacios de la Sierra;Palacios de la Sierra;Burgos;1080;415735N;030754W
2302N;Monterrubio de la Demanda;Monterrubio de la Demanda;Burgos;1197;420847N;030639W
2311Y;Villamayor de los Montes;Villamayor de los Montes;Burgos;882;420619N;034604W
2331X;Burgos Aeropuerto;Burgos;Burgos;891;422122N;033717W
9012E;Santa Gadea de Alfoz;Alfoz de Santa Gadea;Burgos;915;425705N;035726W
9027X;Sargentes de la Lora;Sargentes de la Lora;Burgos;1017;424449N;035304W
9031C;Briviesca;Briviesca;Burgos;730;423334N;031832W
9051;Medina de Pomar;Medina de Pomar;Burgos;580;425512N;032858W
9069C;Miranda de Ebro;Miranda de Ebro;Burgos;460;424113N;025738W
9111;Belorado;Belorado;Burgos;820;422516N;031013W
3386A;Navalvillar de Ibor;Navalvillar de Ibor;Cáceres;923;393530N;052303W
3423I;Madrigal de la Vera;Madrigal de la Vera;Cáceres;464;400914N;052224W
3434X;Navalmoral de la Mata;Navalmoral de la Mata;Cáceres;269;395645N;053457W
3436D;Garganta de la Olla;Garganta la Olla;Cáceres;690;400640N;054705W
3448X;Serradilla;Serradilla;Cáceres;406;394915N;060739W
3455X;Jaraicejo;Jaraicejo;Cáceres;559;394012N;054830W
3463X;Trujillo;Trujillo;Cáceres;503;392857N;055115W
3469A;Cáceres;Cáceres;Cáceres;394;392817N;062020W
3475X;Cañaveral;Cañaveral;Cáceres;373;394726N;062235W
3494U;Nuñomoral;Nuñomoral;Cáceres;470;402429N;061423W
3503;Guijo de Granadilla;Guijo de Granadilla;Cáceres;393;401130N;060956W
3504X;Hervás;Hervás;Cáceres;724;401554N;055140W
3512X;Montehermoso;Montehermoso;Cáceres;351;400451N;062020W
3514B;Tornavacas;Tornavacas;Cáceres;991;401531N;054042W
3516X;Piornal;Piornal;Cáceres;1260;400715N;054957W
3519X;Plasencia;Plasencia;Cáceres;415;400235N;060509W
3526X;Coria;Coria;Cáceres;313;400013N;063327W
3531X;Torrecilla de los Angeles;Torrecilla de los Ángeles;Cáceres;459;401518N;062442W
3536X;Hoyos;Hoyos;Cáceres;560;401029N;064328W
3540X;Zarza La Mayor;Zarza la Mayor;Cáceres;336;395217N;065136W
3547X;Valverde del Fresno;Valverde del Fresno;Cáceres;450;401226N;065346W
3562X;Aliseda;Aliseda;Cáceres;321;392539N;064411W
3565X;Brozas;Brozas;Cáceres;425;393705N;064442W
3576X;Valencia de Alcántara;Valencia de Alcántara;Cáceres;445;392458N;071452W
4245X;Guadalupe;Guadalupe;Cáceres;660;392719N;052000W
4339X;Cañamero;Cañamero;Cáceres;590;391851N;052208W
4347X;Zorita;Zorita;Cáceres;413;391658N;054237W
4411C;Alcuescar;Alcuéscar;Cáceres;467;391152N;061352W
5906X;Chipiona;Chipiona;Cádiz;10;364500N;062402W
5910X;Rota, Base Naval;Rota;Cádiz;21;363820N;061957W
5911A;Grazalema;Grazalema;Cádiz;913;364538N;052227W
5919X;Olvera;Olvera;Cádiz;530;365554N;051534W
5941X;El Bosque;Bosque, El;Cádiz;295;364346N;053044W
5950X;San José del Valle;San José del Valle;Cádiz;105;363950N;054700W
5960;Jerez de la Frontera Aeropuerto;Jerez de la Frontera;Cádiz;27;364502N;060321W
5972X;San Fernando;San Fernando;Cádiz;28;362756N;061220W
5973;Cádiz;Cádiz;Cádiz;2;362959N;061528W
5983X;Medina Sidonia;Medina-Sidonia;Cádiz;70;362423N;055513W
5995B;Vejer de la Frontera;Vejer de la Frontera;Cádiz;186;361444N;055754W
5996B;Barbate;Barbate;Cádiz;4;361106N;055435W
6001;Tarifa;Tarifa;Cádiz;32;360050N;053556W
6042I;Jimena de la Frontera;Jimena de la Frontera;Cádiz;42;362608N;052342W
6056X;San Roque;San Roque;Cádiz;1;361623N;051704W
1083L;Castro Urdiales;Castro-Urdiales;Cantabria;45;432341N;031402W
1089U;Ramales de la Victoria;Ramales de la Victoria;Cantabria;80;431521N;032815W
1096X;Barcena de Cicero, Treto;Bárcena de Cicero;Cantabria;10;432348N;032811W
1102D;Soba, Alto Miera;Soba;Cantabria;700;431126N;034109W
1109;Santander Aeropuerto;Camargo;Cantabria;5;432545N;034953W
1111X;Santander;Santander;Cantabria;52;432928N;034802W
1124E;Villacarriedo;Villacarriedo;Cantabria;190;431444N;035058W
1135C;Los Tojos, Bárcena Mayor;Tojos, Los;Cantabria;460;430849N;041251W
1152C;San Felices de Buelna;San Felices de Buelna;Cantabria;105;431619N;040255W
1154H;Torrelavega, Sierrapando;Torrelavega;Cantabria;110;432131N;040139W
1159;San Vicente de la Barquera;San Vicente de la Barquera;Cantabria;40;432336N;042332W
1167B;Camaleño, Fuente De;Camaleño;Cantabria;1100;430838N;044846W
1174I;Cillórigo de Liébana, Tama;Cillorigo de Liébana;Cantabria;260;431058N;043606W
1176A;Tresviso;Tresviso;Cantabria;940;431521N;044006W
1740;Santillana del Mar, Altamira;Santillana del Mar;Cantabria;150;432238N;040728W
9001D;Reinosa;Campoo de Enmedio;Cantabria;870;425931N;040938W
9016X;Valderredible, Cubillo de Ebro;Valderredible;Cantabria;770;424835N;040156W
9019B;Valderredible, Polientes;Valderredible;Cantabria;720;424823N;035602W
8439X;Segorbe;Segorbe;Castelló/Castellón;400;394744N;002907W
8472A;Montanejos;Montanejos;Castelló/Castellón;601;400516N;003249W
8489X;Villafranca del Cid/Villafranca;Villafranca del Cid/Vilafranca;Castelló/Castellón;1131;402600N;001521W
8492X;Atzeneta del Maestrat;Atzeneta del Maestrat;Castelló/Castellón;420;401338N;001011W
8500A;Castellón de la Plana, Almazora;Almazora/Almassora;Castelló/Castellón;43;395726N;000419W
8503Y;Torreblanca;Torreblanca;Castelló/Castellón;35;401241N;001101E
8520X;La Pobla de Benifassà-Fredes;Pobla de Benifassà, la;Castelló/Castellón;1168;404137N;000955E
8523X;Vinaròs;Vinaròs;Castelló/Castellón;111;403315N;002547E
9563X;Castellfort;Castellfort;Castelló/Castellón;1220;402955N;001112W
5000C;Ceuta;Ceuta;Ceuta;87;355319N;052049W
4064Y;Alcazar de San Juan;Alcázar de San Juan;Ciudad Real;640;392327N;031257W
4103X;Tomelloso;Tomelloso;Ciudad Real;662;391009N;030027W
4121;Ciudad Real;Ciudad Real;Ciudad Real;628;385921N;035513W
4138Y;Villanueva de los Infantes;Villanueva de los Infantes;Ciudad Real;900;384415N;030016W
4147X;Valdepeñas;Valdepeñas;Ciudad Real;700;384502N;032329W
4148;Viso del Marqués;Viso del Marqués;Ciudad Real;778;383105N;033400W
4210Y;Abenójar;Abenójar;Ciudad Real;718;385353N;041731W
4220X;Puebla de Don Rodrigo;Puebla de Don Rodrigo;Ciudad Real;485;390519N;043659W
4300Y;Almadén;Almadén;Ciudad Real;535;384631N;045043W
5304Y;Puertollano;Puertollano;Ciudad Real;665;384008N;040333W
5341C;Fuencaliente;Fuencaliente;Ciudad Real;710;382544N;041806W
4263X;Valsequillo;Valsequillo;Córdoba;575;382434N;052102W
4267X;Hinojosa del Duque;Hinojosa del Duque;Córdoba;551;382954N;050717W
5346X;Cardeña;Cardeña;Córdoba;720;381112N;041621W
5361X;Montoro;Montoro;Córdoba;155;380048N;041949W
5390Y;Villanueva de Córdoba;Villanueva de Córdoba;Córdoba;750;381959N;043632W
5394X;Córdoba;Córdoba;Córdoba;525;380115N;044748W
5402;Córdoba Aeropuerto;Córdoba;Córdoba;90;375056N;045048W
5412X;Priego de Cordoba;Priego de Córdoba;Córdoba;550;372905N;041228W
5427X;Doña Mencía;Doña Mencía;Córdoba;650;373322N;042114W
5429X;Córdoba, Prágdena;Córdoba;Córdoba;275;374837N;042744W
5459X;Espiel;Espiel;Córdoba;465;380640N;045543W
5470;Fuente Palmera;Fuente Palmera;Córdoba;120;374511N;050602W
5598X;Benamejí;Benamejí;Córdoba;465;371351N;043252W
5624X;Aguilar de la Frontera;Aguilar de la Frontera;Córdoba;309;372855N;044109W
5625X;La Rambla;Rambla, La;Córdoba;200;373819N;044550W
3040Y;Beteta;Beteta;Cuenca;1214;403418N;020435W
3044X;Cañizares;Cañizares;Cuenca;940;403149N;020900W
3094B;Tarancón;Tarancón;Cuenca;808;400041N;030117W
4051Y;Alcázar del Rey;Alcázar del Rey;Cuenca;875;400340N;024825W
4070Y;Abia de Obispalia;Abia de la Obispalía;Cuenca;1020;400108N;022343W
4075Y;Villares del Saz;Villares del Saz;Cuenca;870;395025N;023012W
4089A;Alberca de Zancara;Alberca de Záncara, La;Cuenca;805;393056N;022940W
4093Y;Osa de la Vega;Osa de la Vega;Cuenca;763;393922N;024536W
4095Y;Belmonte;Belmonte;Cuenca;745;393319N;024220W
8096;Cuenca;Cuenca;Cuenca;948;400402N;020755W
8155Y;Motilla del Palancar;Motilla del Palancar;Cuenca;830;393320N;015455W
8210Y;Salvacañete;Salvacañete;Cuenca;1160;400611N;013013W
8245Y;Mira;Mira;Cuenca;815;394252N;012633W
1012P;Irún;Irun;Gipuzkoa;120;431935N;014748W
1014A;San Sebastián Aeropuerto;Hondarribia;Gipuzkoa;4;432138N;014714W
1021X;Renteria;Errenteria;Gipuzkoa;165;431247N;015244W
1025X;Beasain;Beasain;Gipuzkoa;255;430317N;021355W
1026X;Ordizia;Ordizia;Gipuzkoa;290;430329N;021103W
1036A;Zarautz;Zarautz;Gipuzkoa;60;431646N;021052W
1037X;Legazpia;Legazpi;Gipuzkoa;460;430306N;022013W
1037Y;Zumarraga;Urretxu;Gipuzkoa;420;430448N;021904W
1038X;Azpeitia;Azpeitia;Gipuzkoa;180;431021N;021602W
1041A;Zumaia;Zumaia;Gipuzkoa;28;431808N;021504W
1048X;Aretxabaleta;Aretxabaleta;Gipuzkoa;308;430130N;022756W
1049N;Elgeta;Elgeta;Gipuzkoa;470;430818N;022945W
1050J;Elgoibar;Elgoibar;Gipuzkoa;120;431234N;022448W
1052A;Mutriku;Mutriku;Gipuzkoa;150;431902N;022350W
0281Y;Blanes;Blanes;Girona;45;414037N;024818E
0284X;Castell, Platja d`Aro;Castell, Platja d`Aro;Girona;14;414828N;030151E
0312X;Sant Pau de Segúries;Sant Pau de Segúries;Girona;851;421530N;022152E
0320I;Planoles;Planoles;Girona;1151;421901N;020610E
0324A;Ripoll;Ripoll;Girona;675;421129N;021146E
0360X;Les Planes d'Hostoles;Planes d'Hostoles, Les;Girona;322;420310N;023304E
0363X;Sant Hilari;Sant Hilari Sacalm;Girona;810;415251N;023048E
0367;Girona Aeropuerto;Vilobí d'Onyar;Girona;143;415442N;024548E
0370E;Girona;Girona;Girona;76;415820N;024910E
0372C;Porqueres;Porqueres;Girona;157;420616N;024549E
0385X;L'Estartit;Torroella de Montgrí;Girona;1;420314N;031205E
0394X;La Vall de Bianya;Vall de Bianya, La;Girona;350;421238N;022819E
0411X;Castello d'Empuries;Castelló d'Empúries;Girona;2;421329N;030535E
0413A;Maçanet de Cabrenys;Maçanet de Cabrenys;Girona;355;422313N;024520E
0421X;Espolla;Espolla;Girona;100;422324N;030022E
0429X;Figueres;Figueres;Girona;45;421533N;025737E
0433D;Cabo de Creus;Cadaqués;Girona;75;421909N;031857E
9585;La Molina;Alp;Girona;1703;421957N;015622E
5047E;Baza;Baza;Granada;785;373021N;024406W
5515D;Víznar;Víznar;Granada;1250;371414N;033203W
5515X;Granada-Cartuja;Granada;Granada;775;371123N;033544W
5530E;Granada Aeropuerto;Chauchina;Granada;567;371123N;034722W
5582A;Loja;Loja;Granada;594;370940N;040910W
6258X;Lanjarón;Lanjarón;Granada;715;365523N;032933W
6267X;Salobreña;Salobreña;Granada;20;364454N;033443W
6268X;Motril;Motril;Granada;12;364327N;033144W
6268Y;Motril, Puerto;Motril;Granada;1;364325N;033145W
6272X;Castell del Ferro;Gualchos;Granada;235;364403N;032248W
6281X;Válor;Válor;Granada;1020;370019N;030417W
3013;Molina de Aragón;Molina de Aragón;Guadalajara;1062;405030N;015244W
3021Y;Zaorejas;Zaorejas;Guadalajara;1230;404546N;021202W
3085Y;Pastrana;Pastrana;Guadalajara;920;402428N;025711W
3103;Retiendas;Retiendas;Guadalajara;910;410013N;031807W
3130C;Sigüenza;Sigüenza;Guadalajara;1005;410511N;023705W
3140Y;Mandayona;Mandayona;Guadalajara;990;405906N;024536W
3158D;Campisábalos;Campisábalos;Guadalajara;1360;411627N;030833W
3168D;Guadalajara;Guadalajara;Guadalajara;721;403749N;030900W
3209Y;Brihuega;Brihuega;Guadalajara;955;404555N;025227W
9377Y;El Pedregal;Pedregal, El;Guadalajara;1185;404643N;013406W
4527X;Aroche;Aroche;Huelva;267;375849N;065833W
4541X;El Granado;Granado, El;Huelva;60;373313N;073112W
4549Y;Ayamonte;Ayamonte;Huelva;2;371141N;072342W
4554X;Cartaya;Cartaya;Huelva;15;371306N;070501W
4560Y;Alajar;Alájar;Huelva;572;375207N;064030W
4575X;Valverde del Camino;Valverde del Camino;Huelva;273;373418N;064507W
4584X;El Cerro de Andévalo;Cerro de Andévalo, El;Huelva;270;374354N;065632W
4589X;Alosno, Tharsis;Alosno;Huelva;276;373552N;070710W
4608X;El Campillo;Campillo, El;Huelva;415;374038N;063748W
4622X;Villarrasa;Villarrasa;Huelva;145;372703N;063812W
4642E;Huelva, Ronda Este;Huelva;Huelva;19;371642N;065442W
5769X;Cala;Cala;Huelva;618;375825N;061920W
5858X;Almonte;Almonte;Huelva;5;365919N;062635W
5860E;Moguer, El Arenosillo;Moguer;Huelva;41;370553N;064417W
9198X;Canfranc;Canfranc;Huesca;1170;424458N;003058W
9201K;Jaca;Jaca;Huesca;823;423444N;003249W
9207;Valle de Hecho, Hecho;Valle de Hecho;Huesca;860;424426N;004502W
9208E;Aragüés del Puerto;Aragüés del Puerto;Huesca;1040;424232N;004023W
9211F;Bailo;Bailo;Huesca;722;423051N;004902W
9453X;Biescas;Biescas;Huesca;1100;424157N;001908W
9460X;Sabiñánigo;Sabiñánigo;Huesca;775;423046N;002120W
9491X;Almudévar;Almudévar;Huesca;390;420146N;003509W
9751;Sopeira;Sopeira;Huesca;760;421907N;004449E
9756X;Benabarre;Benabarre;Huesca;765;420645N;002848E
9784P;Bielsa;Bielsa;Huesca;990;423748N;001329E
9808X;Ainsa;Aínsa-Sobrarbe;Huesca;610;422518N;000817E
9814A;Torla;Torla-Ordesa;Huesca;1020;423736N;000642W
9838B;Benasque;Benasque;Huesca;1120;423602N;003118E
9843A;Seira;Seira;Huesca;825;422837N;002603E
9855E;Capella;Capella;Huesca;600;421205N;002758E
9866C;Barbastro;Barbastro;Huesca;305;420117N;000826E
9894Y;Sariñena, Depósito agua;Sariñena;Huesca;300;414757N;000939W
9898;Huesca Aeropuerto;Alcalá del Obispo;Huesca;541;420500N;001935W
9901X;Huesca;Huesca;Huesca;463;420820N;002342W
9908X;Lanaja;Lanaja;Huesca;380;414626N;001959W
C649R;Telde, Melenara;Telde;Las Palmas;9;275913N;152240W
C656V;Teror;Teror;Las Palmas;683;280431N;153250W
C658X;Las Palmas de Gran Canaria, Tafira;Palmas de Gran Canaria, Las;Las Palmas;269;280441N;152712W
C659H;Las Palmas de Gran Canaria, San Cristobal;Palmas de Gran Canaria, Las;Las Palmas;55;280523N;152458W
C659M;Las Palmas de Gran Canaria, Pl. de la Feria;Palmas de Gran Canaria, Las;Las Palmas;15;280647N;152517W
C665T;Valleseco;Valleseco;Las Palmas;900;280358N;153357W
C669B;Arucas;Arucas;Las Palmas;86;280830N;153025W
C689E;Maspalomas;San Bartolomé de Tirajana;Las Palmas;6;274409N;153545W
C839I;Teguise;Teguise;Las Palmas;10;291355N;133007W
1178Y;Posada de Valdeón, Soto;Posada de Valdeón;León;953;430843N;045554W
1541B;Villablino;Villablino;León;958;425544N;062002W
1549;Ponferrada;Ponferrada;León;534;423350N;063600W
1561I;Vega de Espinareda;Vega de Espinareda;León;770;424558N;064025W
2624C;Riaño;Riaño;León;1090;425730N;050027W
2626Y;Cubillas de Rueda;Cubillas de Rueda;León;916;423712N;051136W
2630X;Puerto de San Isidro;Puebla de Lillo;León;1510;430344N;052237W
2661B;León Aeropuerto;Valverde de la Virgen;León;912;423558N;053837W
2664B;Valencia de Don Juan;Valencia de Don Juan;León;788;421745N;053017W
2701D;Barrios de Luna, Miñera;Barrios de Luna, Los;León;1120;425308N;055215W
2728B;Quintana del Castillo, Villameca;Quintana del Castillo;León;995;423854N;060415W
2734D;Astorga;Astorga;León;919;422836N;060428W
2737E;Lagunas de Somoza;Val de San Lorenzo;León;1020;422239N;061148W
2742R;Bustillo del Páramo;Bustillo del Páramo;León;850;422759N;054647W
9590;Martinet;Montellà i Martinet;Lleida;1038;422144N;014136E
9590D;Illes de Cerdanya,Cap de Rec;Lles de Cerdanya;Lleida;1940;422549N;014004E
9619;La Seo d'Urgell;Seu d'Urgell, La;Lleida;677;422117N;012747E
9632X;Josa i Tuixén;Josa i Tuixén;Lleida;1196;421349N;013410E
9638D;Coll de Nargó;Coll de Nargó;Lleida;609;420916N;011843E
9647X;Torà;Torà;Lleida;435;414821N;012344E
9650X;Artesa de Segre;Artesa de Segre;Lleida;400;415253N;010631E
